ID,Species,Treatment,Day0Transpiration,HarvestDateTranspiration,Species_Type
NM33,NM,control,0.21780104712041867,0.18085106382978702,None
NM32,NM,drought,0.19459459459459436,0.08633093525179864,None
NM31,NM,control,0.20565371024734974,0.1927461139896374,None
NM29,NM,drought,0.16540540540540544,0.0660550458715594,None
NM38,NM,drought,0.20196078431372558,0.032119914346895075,None
NM37,NM,control,0.17435897435897446,0.14968814968814945,None
NM36,NM,drought,0.17172774869109952,0.04795204795204821,None
NM35,NM,control,0.20034071550255536,0.13678756476683956,None
NM34,NM,drought,0.22156862745098033,0.018348623853211267,None
SP33,SP,drought,0.16666666666666682,0.019093078758949812,Single
SP32,SP,control,0.18235294117647052,0.19624470018170828,Single
SP31,SP,control,0.25111111111111123,0.08602150537634409,Single
SP30,SP,drought,0.21372549019607825,0.029041626331074544,Single
SP29,SP,drought,0.10890052356020949,0.04615384615384622,Single
SP37,SP,control,0.1800000000000002,0.12916666666666643,Single
SP36,SP,control,0.19057591623036638,0.1393767705382439,Single
SP35,SP,drought,0.1743589743589743,0.021739130434782608,Single
SP34,SP,control,0.17843137254901964,0.14990138067061132,Single
R+S05,R+S,drought,0.1911111111111113,0.03373945641986887,Double
R+S04,R+S,drought,0.18097447795823668,0.02811621368322399,Double
R+S03,R+S,control,0.2055944055944055,0.12410841654778912,Double
R+S02,R+S,drought,0.18333333333333338,0.030612244897959186,Double
R+S01,R+S,drought,0.18235294117647066,0.021613832853025938,Double
R+S10,R+S,control,0.15795053003533568,0.19805825242718478,Double
R+S09,R+S,control,0.18846153846153849,0.0980223559759239,Double
R+S08,R+S,drought,0.2108108108108108,0.01635991820040894,Double
R+S07,R+S,drought,0.21398601398601402,0.03706563706563694,Double
R+S06,R+S,control,0.1846153846153846,0.09311348205625573,Double
RP05,RP,drought,0.1,0.10195412064570943,Single
RP04,RP,drought,0.18709677419354828,0.0557142857142856,Single
RP03,RP,drought,0.1977777777777779,0.11900826446280983,Single
RP02,RP,drought,0.20979020979020963,0.028929604628736737,Single
RP01,RP,drought,0.17122969837587004,0.06471494607087822,Single
RP09,RP,control,0.2,0.07553956834532327,Single
RP08,RP,control,0.18881118881118863,0.13600000000000023,Single
RP07,RP,control,0.14098939929328635,0.15300546448087493,Single
RP06,RP,control,0.17785349233390124,0.11616650532429817,Single
NM08,NM,control,0.1952299829642248,0.08256880733944941,None
NM09,NM,drought,0.16923076923076918,0.03032855939342888,None
NM11,NM,drought,0.19720279720279701,0.024922118380062214,None
NM12,NM,drought,0.2052044609665428,0.019230769230769048,None
NM13,NM,control,0.15856443719412727,0.17890909090909066,None
NM07,NM,control,0.1389885807504077,0.14198473282442722,None
NM06,NM,drought,0.1168018539976826,0.028985507246376812,None
NM05,NM,control,0.1794871794871795,0.15,None
NM04,NM,drought,0.18461538461538468,0.022556390977443528,None
NM03,NM,control,0.1962825278810408,0.07456978967495285,None
NM02,NM,control,0.15314685314685308,0.17050691244239646,None
NM01,NM,control,0.1999999999999999,0.19826907946498834,None
S+T14,S+T,drought,0.18988580750407835,0.1487219209914796,Double
S+T13,S+T,drought,0.20256410256410254,0.01816805450416345,Double
S+T12,S+T,control,0.18835978835978834,0.21378776142525216,Double
S+T11,S+T,control,0.18461538461538454,0.1464285714285712,Double
S+T10,S+T,drought,0.22054054054054043,0.03816793893129771,Double
S+T09,S+T,drought,0.19188876013904982,0.18069087688219693,Double
S+T07,S+T,drought,0.1243589743589743,0.016143497757847382,Double
S+T05,S+T,control,0.1940520446096655,0.15426997245179128,Double
S+T04,S+T,control,0.18909710391822826,0.12084592145015105,Double
S+T03,S+T,control,0.2075040783034258,0.08365019011406855,Double
S+T02,S+T,control,0.2007434944237918,0.0659340659340658,Double
S+T01,S+T,drought,0.17843866171003733,0.04276985743380829,Double
TC08,TC,control,0.20558659217877084,0.0976744186046509,Single
TC09,TC,control,0.1858974358974359,0.0597701149425286,Single
TC10,TC,drought,0.1571263035921206,0.3065693430656933,Single
TC11,TC,drought,0.1487765089722674,0.0264783759929391,Single
TC12,TC,drought,0.15641025641025644,0.039669421487603516,Single
TC13,TC,control,0.18730158730158733,0.20869565217391353,Single
TC14,TC,control,0.21337683523654155,0.101060511540861,Single
TC01,TC,control,0.20335195530726244,0.16180758017492725,Single
TC02,TC,control,0.22027972027972026,0.12180451127819561,Single
TC03,TC,drought,0.1394594594594596,0.025167785234899327,Single
TC04,TC,drought,0.17051282051282057,0.032967032967033044,Single
TC05,TC,control,0.17376490630323685,0.10640394088669933,Single
TC06,TC,drought,0.19510489510489504,0.02047781569965863,Single
TC07,TC,drought,0.1552447552447552,0.050590219224283306,Single
SP08,SP,control,0.234965034965035,0.1150684931506854,Single
SP09,SP,drought,0.16993006993006995,0.03498542274052497,Single
SP10,SP,control,0.25021276595744685,0.07200000000000001,Single
SP11,SP,drought,0.16983240223463675,0.15396578538102632,Single
SP12,SP,control,0.12307692307692318,0.12182741116751318,Single
SP13,SP,drought,0.2564102564102564,0.044477390659747956,Single
SP14,SP,drought,0.17122969837587004,0.017454545454545393,Single
SP01,SP,control,0.19050736497545015,0.20559440559440584,Single
SP02,SP,drought,0.1489559164733179,0.06198347107438017,Single
SP03,SP,control,0.18095238095238098,0.17142857142857176,Single
SP04,SP,control,0.1848510638297872,0.09152542372881413,Single
SP05,SP,drought,0.2043243243243242,NA,Single
SP06,SP,drought,0.14533551554828134,0.15483870967742,Single
SP07,SP,control,0.22564102564102556,0.06027397260274019,Single
